#,query_id,claim_id,claim_text,evidence_text,label_A,notes_A,label_B,notes_B,label_C,notes_C,consensus
45,q10,q10_c10,"This process can be seen as a sequence-to-sequence task where the input is the concatenated query and retrieved documents, and the output is the generated text .","Bidirectional EncoderA  _  C  _  E B       D    (a) BERT: Random tokens are replaced with masks, and the document is encoded bidirectionally. Missing tokens are predicted independently, so BERT cannot easily be used for generation. Autoregressive DecoderA  B  C  D  E<s> A  B  C  D  (b) GPT: Tokens are predicted auto-regressively, meaning GPT can be used for generation. However words can only condition on leftward context, so it cannot learn bidirec- tional interactions. Autoregressive DecoderBidirectional EncoderA  B  C  D  EA  _  B  _  E         <s> A  B  C  D   (c) BART: Inputs to the encoder need not be aligned with decoder outputs, allowing arbitary noise transformations. Here, a document has been corrupted by replacing spans of text with mask symbols. The corrupted document (left) is encoded with a bidirectional model, and then the likelihood of the original document (right) is calc … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Topic mismatch.,unsupported,Topic mismatch.,unsupported
46,q10,q10_c11,"The integration of retrieval and generation allows RAG to leverage external knowledge, which is particularly beneficial for tasks requiring factual accuracy or domain-specific information.","Bidirectional EncoderA  _  C  _  E B       D    (a) BERT: Random tokens are replaced with masks, and the document is encoded bidirectionally. Missing tokens are predicted independently, so BERT cannot easily be used for generation. Autoregressive DecoderA  B  C  D  E<s> A  B  C  D  (b) GPT: Tokens are predicted auto-regressively, meaning GPT can be used for generation. However words can only condition on leftward context, so it cannot learn bidirec- tional interactions. Autoregressive DecoderBidirectional EncoderA  B  C  D  EA  _  B  _  E         <s> A  B  C  D   (c) BART: Inputs to the encoder need not be aligned with decoder outputs, allowing arbitary noise transformations. Here, a document has been corrupted by replacing spans of text with mask symbols. The corrupted document (left) is encoded with a bidirectional model, and then the likelihood of the original document (right) is calc … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Topic mismatch.,unsupported,Topic mismatch.,unsupported
47,q10,q10_c12,"By grounding the generation in retrieved content, RAG can mitigate issues such as **hallucination**, where models generate plausible but incorrect information .","output values. These are concatenated and once again projected, resulting in the final values, as depicted in Figure 2. Multi-head attention allows the model to jointly attend to information from different representation subspaces at different positions. With a single attention head, averaging inhibits this. MultiHead( Q, K, V ) = Concat(head 1, ...,head h)WO where head i= Attention( QWQ i, KWK i, V WV i) Where the projections are parameter matrices WQ i∈Rdmodel×dk,WK i∈Rdmodel×dk,WV i∈Rdmodel×dv andWO∈Rhdv×dmodel. In this work we employ h= 8 parallel attention layers, or heads. For each of these we use dk=dv=dmodel/h= 64 . Due to the reduced dimension of each head, the total computational cost is similar to that of single-head attention with full dimensionality. 3.2.3 Applications of Attention in our Model The Transformer uses multi-head attention in three different ways: •In ""encoder-d … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Topic mismatch.,unsupported,Claim overstates or adds details.,unsupported
48,q10,q10_c13,"### Supporting Details - **Efficiency**: RAG models can be more efficient than traditional generative models that rely solely on pre-trained knowledge, as they dynamically access relevant information rather than relying on potentially outdated or incomplete internal representations .","Fabio Petroni, Aleksandra Piktus, Angela Fan, Patrick Lewis, Majid Yazdani, Nicola De Cao, James Thorne, Yacine Jernite, Vladimir Karpukhin, Jean Maillard, Vassilis Plachouras, Tim Rocktäschel, and Sebastian Riedel. 2021. KILT: a benchmark for knowledge intensive language tasks. In Conference of the North American Chapter of the Association for Computa- tional Linguistics . Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, and Percy Liang. 2016. SQuAD: 100,000+ questions for machine comprehension of text. In Proceedings of Empirical Methods in Natural Language Processing . Hannah Rashkin, Vitaly Nikolaev, Matthew Lamm, Lora Aroyo, Michael Collins, Dipanjan Das, Slav Petrov, Gaurav Singh Tomar, Iulia Turc, and David Reitter. 2021. Measuring attribution in natu- ral language generation models. arXiv preprint arXiv:2112.12870 . Shaden Shaar, Firoj Alam, Giovanni Da San Martino, and Preslav  … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Evidence is related but does not state this detail.,unsupported,Topic mismatch.,unsupported
49,q10,q10_c14,"- **Applications**: RAG has been effectively applied in various domains, including question answering, summarization, and conversational agents, where the need for accurate and context-aware responses is critical .","Fabio Petroni, Aleksandra Piktus, Angela Fan, Patrick Lewis, Majid Yazdani, Nicola De Cao, James Thorne, Yacine Jernite, Vladimir Karpukhin, Jean Maillard, Vassilis Plachouras, Tim Rocktäschel, and Sebastian Riedel. 2021. KILT: a benchmark for knowledge intensive language tasks. In Conference of the North American Chapter of the Association for Computa- tional Linguistics . Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, and Percy Liang. 2016. SQuAD: 100,000+ questions for machine comprehension of text. In Proceedings of Empirical Methods in Natural Language Processing . Hannah Rashkin, Vitaly Nikolaev, Matthew Lamm, Lora Aroyo, Michael Collins, Dipanjan Das, Slav Petrov, Gaurav Singh Tomar, Iulia Turc, and David Reitter. 2021. Measuring attribution in natu- ral language generation models. arXiv preprint arXiv:2112.12870 . Shaden Shaar, Firoj Alam, Giovanni Da San Martino, and Preslav  … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Topic mismatch.,unsupported,Topic mismatch.,unsupported
50,q10,q10_c15,"### Nuances and Caveats While RAG significantly enhances the capabilities of generative models, it also introduces complexities such as the need for a robust retrieval system and the potential for irrelevant or noisy retrieved documents to negatively impact the generation quality.","Fabio Petroni, Aleksandra Piktus, Angela Fan, Patrick Lewis, Majid Yazdani, Nicola De Cao, James Thorne, Yacine Jernite, Vladimir Karpukhin, Jean Maillard, Vassilis Plachouras, Tim Rocktäschel, and Sebastian Riedel. 2021. KILT: a benchmark for knowledge intensive language tasks. In Conference of the North American Chapter of the Association for Computa- tional Linguistics . Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, and Percy Liang. 2016. SQuAD: 100,000+ questions for machine comprehension of text. In Proceedings of Empirical Methods in Natural Language Processing . Hannah Rashkin, Vitaly Nikolaev, Matthew Lamm, Lora Aroyo, Michael Collins, Dipanjan Das, Slav Petrov, Gaurav Singh Tomar, Iulia Turc, and David Reitter. 2021. Measuring attribution in natu- ral language generation models. arXiv preprint arXiv:2112.12870 . Shaden Shaar, Firoj Alam, Giovanni Da San Martino, and Preslav  … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Evidence is related but does not state this detail.,unsupported,Topic mismatch.,unsupported
51,q10,q10_c16,"Additionally, the effectiveness of RAG can depend on the quality and relevance of the underlying knowledge base from which documents are retrieved .","Bidirectional EncoderA  _  C  _  E B       D    (a) BERT: Random tokens are replaced with masks, and the document is encoded bidirectionally. Missing tokens are predicted independently, so BERT cannot easily be used for generation. Autoregressive DecoderA  B  C  D  E<s> A  B  C  D  (b) GPT: Tokens are predicted auto-regressively, meaning GPT can be used for generation. However words can only condition on leftward context, so it cannot learn bidirec- tional interactions. Autoregressive DecoderBidirectional EncoderA  B  C  D  EA  _  B  _  E         <s> A  B  C  D   (c) BART: Inputs to the encoder need not be aligned with decoder outputs, allowing arbitary noise transformations. Here, a document has been corrupted by replacing spans of text with mask symbols. The corrupted document (left) is encoded with a bidirectional model, and then the likelihood of the original document (right) is calc … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Topic mismatch.,unsupported,Topic mismatch.,unsupported
42,q10,q10_c6,The retrieved documents serve as context for the subsequent generation phase.,"Fabio Petroni, Aleksandra Piktus, Angela Fan, Patrick Lewis, Majid Yazdani, Nicola De Cao, James Thorne, Yacine Jernite, Vladimir Karpukhin, Jean Maillard, Vassilis Plachouras, Tim Rocktäschel, and Sebastian Riedel. 2021. KILT: a benchmark for knowledge intensive language tasks. In Conference of the North American Chapter of the Association for Computa- tional Linguistics . Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, and Percy Liang. 2016. SQuAD: 100,000+ questions for machine comprehension of text. In Proceedings of Empirical Methods in Natural Language Processing . Hannah Rashkin, Vitaly Nikolaev, Matthew Lamm, Lora Aroyo, Michael Collins, Dipanjan Das, Slav Petrov, Gaurav Singh Tomar, Iulia Turc, and David Reitter. 2021. Measuring attribution in natu- ral language generation models. arXiv preprint arXiv:2112.12870 . Shaden Shaar, Firoj Alam, Giovanni Da San Martino, and Preslav  … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Topic mismatch.,unsupported,Topic mismatch.,unsupported
43,q10,q10_c7,2.,,unsupported,No evidence.,unsupported,No evidence provided.,unsupported,No evidence excerpt.,unsupported
44,q10,q10_c8,"**Generation Phase**: After retrieving the relevant documents, the model employs a generative language model (like a transformer) to produce text.","PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization however, there has been little work on systematic evaluation of models across these broad settings. Contemporaneously, the adoption of Transformer models (Vaswani et al., 2017) pre-trained using self-supervised ob- jectives on large text corpora (Radford et al., 2018a; Devlin et al., 2019) have improved performance on many NLP tasks (Wang et al., 2018; Rajpurkar et al., 2016). Recent work leveraging such pre-training for Transformer- based sequence-to-sequence models (Dong et al., 2019; Song et al., 2019; Rothe et al., 2019; Lewis et al., 2019; Raffel et al., 2019) has extended the success to text genera- tion, including abstractive summarization. In this work, we study pre-training objectives speciﬁcally for abstractive text summarization and evaluate on 12 down- stream datasets spanning news (Hermann et al … [truncated]",unsupported,Topic mismatch / not stated.,unsupported,Evidence is related but does not state this detail.,unsupported,Claim overstates or adds details.,unsupported
