query_id,query,doc_id,document_title,relevance_label
q1,What is the main idea introduced in Attention Is All You Need?,76,Attention is All You Need.pdf,relevant
q2,How does the Transformer avoid recurrence and convolution?,76,Attention is All You Need.pdf,relevant
q3,What is multi-head attention and why is it useful in this paper?,76,Attention is All You Need.pdf,relevant
q4,Why are positional encodings needed in the Transformer architecture?,76,Attention is All You Need.pdf,relevant
q5,What are the two main pretraining objectives used in BERT?,75,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.pdf,relevant
q6,Why is BERT called a bidirectional language model?,75,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.pdf,relevant
q7,How does BERT get adapted to downstream NLP tasks?,75,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.pdf,relevant
q8,What makes BERT different from earlier left-to-right language models?,75,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.pdf,relevant
q9,What problem is the RAG paper trying to solve?,74,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,relevant
q10,How does Retrieval-Augmented Generation combine retrieval and generation?,74,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,relevant
q11,Why is non-parametric memory useful in the RAG framework?,74,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,relevant
q12,How does RAG differ from a standard seq2seq model without retrieval?,74,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,relevant
q13,How is CLIP trained using image-text pairs?,73,Learning Transferable Visual Models From Natural Language Supervision (CLIP).pdf,relevant
q14,What does zero-shot transfer mean in the CLIP paper?,73,Learning Transferable Visual Models From Natural Language Supervision (CLIP).pdf,relevant
q15,Why does CLIP not need a fixed label set during pretraining?,73,Learning Transferable Visual Models From Natural Language Supervision (CLIP).pdf,relevant
q16,What makes CLIP useful for general-purpose vision tasks?,73,Learning Transferable Visual Models From Natural Language Supervision (CLIP).pdf,relevant
q21,What problem do residual connections solve in deep neural networks?,71,Deep Residual Learning for Image Recognition.pdf,relevant
q22,What is a residual block in the ResNet paper?,71,Deep Residual Learning for Image Recognition.pdf,relevant
q23,Why do deeper plain networks suffer from degradation according to the paper?,71,Deep Residual Learning for Image Recognition.pdf,relevant
q24,How does ResNet make optimization easier?,71,Deep Residual Learning for Image Recognition.pdf,relevant
q25,Why is U-Net effective for biomedical image segmentation?,70,U-Net- Convolutional Networks for Biomedical Image SegmentationU-Net- Convolutional Networks for Biomedical Image Segmentation.pdf,relevant
q26,What is the purpose of the skip connections in U-Net?,70,U-Net- Convolutional Networks for Biomedical Image SegmentationU-Net- Convolutional Networks for Biomedical Image Segmentation.pdf,relevant
q27,How does the expanding path differ from the contracting path in U-Net?,70,U-Net- Convolutional Networks for Biomedical Image SegmentationU-Net- Convolutional Networks for Biomedical Image Segmentation.pdf,relevant
q28,Why is U-Net especially useful when labeled data is limited?,70,U-Net- Convolutional Networks for Biomedical Image SegmentationU-Net- Convolutional Networks for Biomedical Image Segmentation.pdf,relevant
q29,How does YOLOv3 perform object detection in a single-stage manner?,69,YOLOv3- An Incremental Improvement.pdf,relevant
q30,What changes or improvements are introduced in YOLOv3 compared to earlier versions?,69,YOLOv3- An Incremental Improvement.pdf,relevant
q31,How does YOLOv3 balance speed and detection accuracy?,69,YOLOv3- An Incremental Improvement.pdf,relevant
q32,Why does YOLOv3 predict at multiple scales?,69,YOLOv3- An Incremental Improvement.pdf,relevant
q33,How does the Vision Transformer convert an image into tokens?,68,An Image is Worth 16x16 Words- Transformers for Image Recognition at Scale.pdf,relevant
